"","logFC","logCPM","PValue","FDR"
"Lus10022441.g.BGIv1.0",2.05250678580894,-0.225136864523998,0.00122422289343048,0.00677248579795321
"Lus10006620.g.BGIv1.0",-1.02524535041084,1.17093960184566,0.00124275369345797,0.00686942856215721
"Lus10025854.g.BGIv1.0",1.13316981662988,1.40058955804304,0.00126193663584875,0.00696870522065307
"Lus10025251.g.BGIv1.0",-1.16965965254837,0.81821574350023,0.0012695812532834,0.00700735991131063
"Lus10002132.g.BGIv1.0",1.63508630753465,0.501267505042934,0.00127629482972614,0.00703994576107409
"Lus10020725.g.BGIv1.0",-1.20414721750439,1.10250230099194,0.0013499280900693,0.00739077128506332
"Lus10040168.g.BGIv1.0",2.96645146362548,-0.51703726315758,0.00135259809717596,0.00740352453819395
"Lus10025212.g.BGIv1.0",1.04594916980077,1.21645115465739,0.00135288965207765,0.00740418809838441
"Lus10031622.g.BGIv1.0",-1.10309081877926,1.61094272616571,0.00139467602072491,0.00760320558025241
"Lus10000717.g.BGIv1.0",2.33070386209867,-0.223941989756333,0.00139701892555339,0.00761406841934945
"Lus10024432.g.BGIv1.0",-1.21651243053269,0.803209742032512,0.00140165211406423,0.00763740524573654
"Lus10038285.g.BGIv1.0",1.2183522292093,1.03273035624482,0.00140470276804353,0.00765115073670219
"Lus10035043.g.BGIv1.0",-1.19567164304905,1.44657042619765,0.00141831825234121,0.00771854190630002
"Lus10024255.g.BGIv1.0",1.71318842599565,0.1382906053488,0.00142331879635817,0.00774187830286361
"Lus10019190.g.BGIv1.0",-1.06925645391222,1.09040615812628,0.00144789063281546,0.00784999422538298
"Lus10026285.g.BGIv1.0",-1.19695210282394,0.789375317023985,0.00150056406070371,0.00810222584559072
"Lus10040419.g.BGIv1.0",3.61353803242824,-0.981060355187914,0.00150679445582653,0.00813081700462205
"Lus10011416.g.BGIv1.0",-1.27943590010261,1.30871639983438,0.00150754605533236,0.00813386304720779
"Lus10030536.g.BGIv1.0",1.26745453339567,0.746213983158041,0.0015207525580376,0.00819494662829459
"Lus10042315.g.BGIv1.0",-5.14760370250836,-1.19563337320496,0.0015345704017346,0.00826019191849983
"Lus10005815.g.BGIv1.0",-1.03848152719763,1.62659776547145,0.00153753135651187,0.00827305676431832
"Lus10011512.g.BGIv1.0",-1.59439675630623,0.204364595150233,0.00154738672819526,0.00831682102638184
"Lus10008622.g.BGIv1.0",1.12314261530158,1.0907744550571,0.00156068279741712,0.00837482309425005
"Lus10041131.g.BGIv1.0",-1.74110814450371,0.389407262333972,0.00157914710669758,0.00845928575172524
"Lus10001729.g.BGIv1.0",1.05397420115953,1.42829709867722,0.0015827033887287,0.00847729164753884
"Lus10021285.g.BGIv1.0",4.93587282351742,-1.3157734120581,0.00158770806446675,0.00849886187297553
"Lus10018119.g.BGIv1.0",-1.06611046395083,1.23669723344136,0.0015885846383464,0.00850250711814285
"Lus10011277.g.BGIv1.0",2.03466185404165,0.0434859165407156,0.00159071544879913,0.0085118157649861
"Lus10002964.g.BGIv1.0",2.89371523991449,-0.884785440698115,0.0015955944583304,0.00853372129651585
"Lus10000181.g.BGIv1.0",1.1429265301495,1.11438254479484,0.00161401162353074,0.00861843745074375
"Lus10005601.g.BGIv1.0",1.09151661736018,1.80124413076442,0.00161518212131926,0.00862045205596924
"Lus10042181.g.BGIv1.0",-1.0954695579548,1.76612128357872,0.00162543235512489,0.00867090071292601
"Lus10006732.g.BGIv1.0",-1.87377324610305,0.0679815405641336,0.00163234445491077,0.00870456891553311
"Lus10039547.g.BGIv1.0",1.75023350817732,-0.0321791864801276,0.00163793773488075,0.00873118225297377
"Lus10036036.g.BGIv1.0",-1.16812918552094,0.915152695587861,0.00164223875786386,0.00875066399214888
"Lus10030030.g.BGIv1.0",-2.17855496237127,0.685241877015877,0.00165113190693515,0.00879181223987971
"Lus10036903.g.BGIv1.0",1.08082213934745,1.26921812334334,0.0016542388110403,0.00880599729663307
"Lus10026234.g.BGIv1.0",2.17506497943928,-0.315774578549053,0.00166039678841609,0.00883249006231469
"Lus10038983.g.BGIv1.0",-1.79975061138843,-0.0851026881912124,0.00167064525228096,0.00887940087564565
"Lus10014979.g.BGIv1.0",1.85645290373785,0.0429846317620224,0.00169496439300387,0.00900205218427259
"Lus10013407.g.BGIv1.0",1.06262144611262,1.25929946922888,0.00169913193805505,0.00902263523830215
"Lus10038192.g.BGIv1.0",1.16401921110849,1.32293213243467,0.00171094566085888,0.0090758412230868
"Lus10004177.g.BGIv1.0",-1.08043597906302,1.42580843428495,0.00171600501967228,0.00909601929157101
"Lus10029007.g.BGIv1.0",-5.30325373734437,-1.08548540664606,0.00172132413754407,0.00911865483587357
"Lus10028641.g.BGIv1.0",-5.29484040189237,-1.0856475395729,0.00172132413754407,0.00911865483587357
"Lus10021514.g.BGIv1.0",1.14699376386263,1.42987324801725,0.00173436421126244,0.00918325781093659
"Lus10027806.g.BGIv1.0",1.65008747691437,0.369529667104236,0.00174208956308891,0.00921854843542766
"Lus10003001.g.BGIv1.0",-4.90999691150903,-1.31602712177531,0.00175793233479039,0.00928994365738794
